Year,District Code,District Name,Neighborhood Code,Neighborhood Name,Age,Immigrants,Emigrants,Diferencia
2015,2,Eixample,5,el Fort Pienc,60-64,23,33,-10
2015,2,Eixample,6,la Sagrada Família,60-64,49,54,-5
2015,2,Eixample,7,la Dreta de l'Eixample,60-64,79,57,22
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,60-64,54,45,9
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,60-64,75,64,11
2015,2,Eixample,10,Sant Antoni,60-64,39,39,0
2015,3,Sants-Montjuïc,11,el Poble Sec,60-64,56,35,21
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,60-64,2,1,1
2015,3,Sants-Montjuïc,13,la Marina de Port,60-64,32,22,10
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,60-64,19,7,12
2015,3,Sants-Montjuïc,15,Hostafrancs,60-64,17,20,-3
2015,3,Sants-Montjuïc,16,la Bordeta,60-64,25,14,11
2015,3,Sants-Montjuïc,17,Sants - Badal,60-64,35,39,-4
2015,3,Sants-Montjuïc,18,Sants,60-64,46,44,2
2015,4,Les Corts,19,les Corts,60-64,40,53,-13
2015,4,Les Corts,20,la Maternitat i Sant Ramon,60-64,32,36,-4
2015,4,Les Corts,21,Pedralbes,60-64,13,14,-1
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",60-64,4,6,-2
2015,5,Sarrià-Sant Gervasi,23,Sarrià,60-64,26,26,0
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,60-64,15,21,-6
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,60-64,27,27,0
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,60-64,63,60,3
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,60-64,36,38,-2
2015,6,Gràcia,28,Vallcarca i els Penitents,60-64,14,10,4
2015,6,Gràcia,29,el Coll,60-64,7,8,-1
2015,6,Gràcia,30,la Salut,60-64,11,13,-2
2015,6,Gràcia,31,la Vila de Gràcia,60-64,63,50,13
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,60-64,40,27,13
2015,7,Horta-Guinardó,33,el Baix Guinardó,60-64,32,31,1
2015,7,Horta-Guinardó,34,Can Baró,60-64,11,7,4
2015,7,Horta-Guinardó,35,el Guinardó,60-64,32,20,12
2015,7,Horta-Guinardó,36,la Font d'en Fargues,60-64,5,13,-8
2015,7,Horta-Guinardó,37,el Carmel,60-64,35,26,9
2015,7,Horta-Guinardó,38,la Teixonera,60-64,6,9,-3
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,60-64,7,7,0
2015,7,Horta-Guinardó,40,Montbau,60-64,5,3,2
2015,7,Horta-Guinardó,41,la Vall d'Hebron,60-64,7,4,3
2015,7,Horta-Guinardó,42,la Clota,60-64,0,0,0
2015,7,Horta-Guinardó,43,Horta,60-64,26,16,10
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,60-64,21,23,-2
2015,8,Nou Barris,45,Porta,60-64,24,16,8
2015,8,Nou Barris,46,el Turó de la Peira,60-64,19,10,9
2015,8,Nou Barris,47,Can Peguera,60-64,0,1,-1
2015,8,Nou Barris,48,la Guineueta,60-64,14,7,7
2015,8,Nou Barris,49,Canyelles,60-64,6,8,-2
2015,8,Nou Barris,50,les Roquetes,60-64,19,14,5
2015,8,Nou Barris,51,Verdun,60-64,15,7,8
2015,8,Nou Barris,52,la Prosperitat,60-64,17,20,-3
2015,8,Nou Barris,53,la Trinitat Nova,60-64,6,5,1
2015,8,Nou Barris,54,Torre Baró,60-64,4,1,3
2015,8,Nou Barris,55,Ciutat Meridiana,60-64,17,12,5
2015,8,Nou Barris,56,Vallbona,60-64,1,0,1
2015,9,Sant Andreu,57,la Trinitat Vella,60-64,8,6,2
2015,9,Sant Andreu,58,Baró de Viver,60-64,6,5,1
2015,9,Sant Andreu,59,el Bon Pastor,60-64,12,15,-3
2015,9,Sant Andreu,60,Sant Andreu,60-64,50,48,2
2015,9,Sant Andreu,61,la Sagrera,60-64,35,22,13
2015,9,Sant Andreu,62,el Congrés i els Indians,60-64,11,15,-4
2015,9,Sant Andreu,63,Navas,60-64,25,18,7
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,60-64,49,34,15
2015,10,Sant Martí,65,el Clot,60-64,32,33,-1
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,60-64,15,14,1
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,60-64,10,6,4
2015,10,Sant Martí,68,el Poblenou,60-64,34,27,7
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,60-64,19,12,7
2015,10,Sant Martí,70,el Besòs i el Maresme,60-64,18,23,-5
2015,10,Sant Martí,71,Provençals del Poblenou,60-64,22,18,4
2015,10,Sant Martí,72,Sant Martí de Provençals,60-64,29,16,13
2015,10,Sant Martí,73,la Verneda i la Pau,60-64,31,29,2
2015,1,Ciutat Vella,1,el Raval,65-69,51,46,5
2015,1,Ciutat Vella,2,el Barri Gòtic,65-69,16,14,2
2015,1,Ciutat Vella,3,la Barceloneta,65-69,19,16,3
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",65-69,20,28,-8
2015,2,Eixample,5,el Fort Pienc,65-69,30,20,10
2015,2,Eixample,6,la Sagrada Família,65-69,57,31,26
2015,2,Eixample,7,la Dreta de l'Eixample,65-69,60,59,1
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,65-69,42,28,14
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,65-69,71,53,18
2015,2,Eixample,10,Sant Antoni,65-69,28,34,-6
2015,3,Sants-Montjuïc,11,el Poble Sec,65-69,20,45,-25
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,65-69,0,1,-1
2015,3,Sants-Montjuïc,13,la Marina de Port,65-69,26,18,8
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,65-69,7,7,0
2015,3,Sants-Montjuïc,15,Hostafrancs,65-69,22,15,7
2015,3,Sants-Montjuïc,16,la Bordeta,65-69,17,24,-7
2015,3,Sants-Montjuïc,17,Sants - Badal,65-69,24,29,-5
2015,3,Sants-Montjuïc,18,Sants,65-69,35,59,-24
2015,4,Les Corts,19,les Corts,65-69,55,36,19
2015,4,Les Corts,20,la Maternitat i Sant Ramon,65-69,23,23,0
2015,4,Les Corts,21,Pedralbes,65-69,15,17,-2
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",65-69,0,8,-8
2015,5,Sarrià-Sant Gervasi,23,Sarrià,65-69,22,26,-4
